DateTime;AirTemperature;ComfortTemperature;RelativeHumidity;WindSpeed;WindDirection;WWCode;EffectiveCloudCover,,,,,
02Jan2019 20:00:00;2,80;2,60;85,40;1,50;20;;6,50
02Jan2019 21:00:00;4,10;3,80;79,70;1,00;90;2;7,60
02Jan2019 22:00:00;3,10;1,00;84,90;2,10;40;;6,0
02Jan2019 23:00:00;2,90;0,80;85,50;2,10;50;61;6,50
03Jan2019 0:00:00;4,40;4,10;80,90;1,00;90;21;7,60
03Jan2019 1:00:00;4,30;4,00;80,90;1,50;50;61;6,50
03Jan2019 2:00:00;4,40;4,10;79,70;1,00;40;;6,50
03Jan2019 3:00:00;4,40;2,10;79,70;2,60;180;10;7,60
03Jan2019 4:00:00;4,30;4,00;80,90;0,50;220;;5,0
03Jan2019 5:00:00;4,10;3,90;82,00;1,50;240;;5,50
03Jan2019 6:00:00;3,80;3,60;82,00;1,00;220;60;7,0
03Jan2019 7:00:00;3,80;3,60;82,50;0,50;200;21;6,0
03Jan2019 8:00:00;3,80;3,60;85,60;0,50;230;60;6,0
03Jan2019 9:00:00;3,60;3,40;85,50;0,50;210;60;7,0
03Jan2019 10:00:00;4,10;3,90;84,40;0,50;200;21;6,0
03Jan2019 11:00:00;4,60;4,30;81,50;1,00;220;60;5,0
03Jan2019 12:00:00;5,40;5,10;77,10;1,00;220;21;6,60
03Jan2019 13:00:00;7,20;6,80;71,10;1,50;220;;5,0
03Jan2019 14:00:00;7,50;6,00;63,90;2,10;190;;6,0
03Jan2019 15:00:00;8,10;7,60;63,10;1,50;180;2;6,0
03Jan2019 16:00:00;7,10;5,60;66,10;2,10;170;;4,50
03Jan2019 17:00:00;6,50;4,60;67,00;2,60;140;;5,50
03Jan2019 18:00:00;5,80;3,50;69,80;3,10;130;;6,60
03Jan2019 19:00:00;5,40;5,10;72,80;1,00;50;;5,50
03Jan2019 20:00:00;5,10;4,80;81,00;1,50;150;80;6,0
03Jan2019 21:00:00;5,10;3,00;81,00;2,60;110;25;7,10
03Jan2019 22:00:00;6,10;3,90;71,90;3,10;160;80;5,50
03Jan2019 23:00:00;6,20;3,50;71,90;4,10;180;60;6,0
04Jan2019 0:00:00;5,90;3,20;79,90;4,10;180;61;7,60
04Jan2019 1:00:00;6,30;2,80;76,10;6,70;180;21;5,50
04Jan2019 2:00:00;5,90;3,20;77,70;4,10;200;80;5,50
04Jan2019 3:00:00;5,70;3,70;79,90;2,60;190;2;7,10
04Jan2019 4:00:00;5,90;3,70;77,70;3,10;200;;5,50
04Jan2019 5:00:00;5,30;3,00;81,00;3,10;190;;4,0
04Jan2019 6:00:00;5,40;2,30;77,60;4,60;190;;5,70
04Jan2019 7:00:00;5,30;2,90;77,60;3,10;220;80;4,50
04Jan2019 8:00:00;4,70;2,40;68,50;2,60;220;;4,50
04Jan2019 9:00:00;4,10;0,80;65,50;4,10;220;2;5,70
04Jan2019 10:00:00;4,20;0,20;60,40;5,70;220;;4,0
04Jan2019 11:00:00;3,90;-0,20;62,60;5,70;240;;6,0
04Jan2019 12:00:00;3,90;0,30;59,40;4,60;230;;5,0
04Jan2019 13:00:00;4,60;1,10;51,30;4,60;240;;3,0
04Jan2019 14:00:00;3,80;-0,10;57,20;5,10;250;;4,0
04Jan2019 15:00:00;4,20;0,60;52,00;4,60;230;;4,0
04Jan2019 16:00:00;4,50;4,00;52,10;1,50;220;;4,0
04Jan2019 17:00:00;3,60;1,50;52,20;2,10;260;;4,0
04Jan2019 18:00:00;2,90;0,70;52,00;2,10;360;;3,0
04Jan2019 19:00:00;2,00;1,80;55,50;1,00;20;;3,0
04Jan2019 20:00:00;1,00;-2,40;65,20;3,10;70;;3,0
04Jan2019 21:00:00;1,20;-1,70;61,50;2,60;30;;3,50
04Jan2019 22:00:00;0,50;-3,40;68,70;3,60;60;;5,0
04Jan2019 23:00:00;0,50;-2,00;69,70;2,10;40;;4,0
05Jan2019 0:00:00;1,00;-2,00;66,20;2,60;40;;6,30
05Jan2019 1:00:00;0,90;-2,50;67,20;3,10;50;;5,0
05Jan2019 2:00:00;0,90;-2,10;68,20;2,60;40;73;4,50
05Jan2019 3:00:00;0,10;-3,90;70,70;3,60;60;70;7,60
05Jan2019 4:00:00;0,50;-2,60;72,40;2,60;50;70;6,50
05Jan2019 5:00:00;0,10;-4,80;74,50;5,10;40;22;4,50
05Jan2019 6:00:00;-0,20;-4,90;75,60;4,60;50;3;6,60
05Jan2019 7:00:00;-0,20;-3,80;79,60;3,10;40;;5,50
05Jan2019 8:00:00;0,00;-4,70;75,60;4,60;40;71;5,50
05Jan2019 9:00:00;0,50;-4,00;75,70;4,60;30;1;6,30
05Jan2019 10:00:00;0,70;-3,50;74,60;4,10;40;70;6,0
05Jan2019 11:00:00;1,10;-3,20;73,60;4,60;40;70;6,0
05Jan2019 12:00:00;1,90;-2,20;82,30;4,60;50;70;7,0
05Jan2019 13:00:00;1,90;-2,20;82,30;4,60;50;70;6,0
05Jan2019 14:00:00;1,90;-1,90;81,10;4,10;40;70;6,0
05Jan2019 15:00:00;0,40;-3,50;93,00;3,60;30;71;7,0
05Jan2019 16:00:00;0,20;-4,10;95,00;4,10;40;71;6,0
05Jan2019 17:00:00;-0,10;-4,10;95,00;3,60;40;71;6,0
05Jan2019 18:00:00;-0,20;-3,80;98,60;3,10;50;71;7,60
05Jan2019 19:00:00;0,00;0,00;99,30;1,00;70;70;6,50
05Jan2019 20:00:00;-0,20;-0,20;99,30;1,50;50;22;4,50
05Jan2019 21:00:00;-0,60;-0,60;99,30;0,50;30;3;6,60
05Jan2019 22:00:00;-0,10;-0,10;100,00;0,50;200;10;5,50
05Jan2019 23:00:00;0,20;0,20;100,00;1,00;170;45;5,50
06Jan2019 0:00:00;0,10;0,10;99,70;0,70;140;48;5,50
06Jan2019 1:00:00;0,00;0,00;99,30;0,50;70;45;5,50
06Jan2019 2:00:00;-0,20;-0,20;99,30;0,50;180;45;4,0
06Jan2019 3:00:00;-1,70;-1,70;99,30;1,50;50;48;4,0
06Jan2019 4:00:00;-3,20;-8,30;99,30;4,10;50;10;4,0
06Jan2019 5:00:00;-3,80;-7,70;99,30;2,60;50;10;4,0
06Jan2019 6:00:00;-2,90;-6,60;99,30;2,60;60;10;6,60
06Jan2019 7:00:00;-2,40;-6,00;99,30;2,60;40;10;6,0
06Jan2019 8:00:00;-2,00;-6,80;98,50;4,10;50;10;6,0
06Jan2019 9:00:00;-2,00;-5,50;97,10;2,60;50;70;7,60
06Jan2019 10:00:00;-1,30;-6,30;97,10;4,60;40;70;6,50
06Jan2019 11:00:00;-1,20;-4,60;98,50;2,60;40;70;6,50
06Jan2019 12:00:00;-0,90;-4,70;99,30;3,10;40;71;7,60
06Jan2019 13:00:00;-0,60;-5,40;99,30;4,60;40;73;6,50
06Jan2019 14:00:00;-0,20;-4,20;99,30;3,60;40;73;6,50
06Jan2019 15:00:00;-0,30;-3,90;99,30;3,10;30;73;7,60
06Jan2019 16:00:00;-0,30;-2,90;99,30;2,10;20;73;6,50
06Jan2019 17:00:00;-0,70;-0,70;98,60;0,50;360;73;6,50
06Jan2019 18:00:00;-1,10;-1,10;94,30;1,50;260;73;7,60
06Jan2019 19:00:00;-0,90;-0,90;88,20;1,50;250;71;6,50
06Jan2019 20:00:00;-1,10;-1,10;85,00;1,50;260;71;6,50
06Jan2019 21:00:00;-1,20;-1,20;84,40;1,50;240;71;7,60
06Jan2019 22:00:00;-1,30;-1,30;82,50;1,00;260;22;6,50
06Jan2019 23:00:00;-1,90;-1,90;84,90;1,50;190;;5,0
07Jan2019 0:00:00;-2,30;-2,30;87,50;1,00;200;1;5,20
07Jan2019 1:00:00;-3,30;-3,30;86,10;1,50;180;;4,0
07Jan2019 2:00:00;-3,40;-3,40;85,40;1,00;200;;4,0
07Jan2019 3:00:00;-3,90;-3,90;85,30;1,00;190;2;3,50
07Jan2019 4:00:00;-3,90;-3,90;83,40;1,00;220;;4,0
07Jan2019 5:00:00;-3,60;-3,60;82,20;1,00;240;;4,0
07Jan2019 6:00:00;-4,10;-4,10;83,40;1,00;210;;5,70
07Jan2019 7:00:00;-4,30;-4,30;83,40;0,50;180;71;3,0
07Jan2019 8:00:00;-4,50;-4,50;85,30;0,50;230;71;5,50
07Jan2019 9:00:00;-4,40;-4,40;84,00;1,00;160;22;6,20
07Jan2019 10:00:00;-3,90;-3,90;81,50;0,50;170;10;4,50
07Jan2019 11:00:00;-1,90;-1,90;74,70;1,00;150;;4,50
07Jan2019 12:00:00;-2,60;-2,60;74,60;1,50;230;;5,70
07Jan2019 13:00:00;-1,90;-1,90;72,40;1,00;190;10;6,0
07Jan2019 14:00:00;-1,30;-1,30;72,60;1,00;180;10;6,0
07Jan2019 15:00:00;-1,30;-1,30;68,30;1,00;240;10;6,0
07Jan2019 16:00:00;-1,10;-1,10;70,40;1,00;220;;5,50
07Jan2019 17:00:00;-2,20;-6,20;84,20;3,10;50;70;5,50
07Jan2019 18:00:00;-2,90;-6,60;86,10;2,60;50;22;7,10
07Jan2019 19:00:00;-3,30;-7,10;87,40;2,60;50;;5,50
07Jan2019 20:00:00;-3,50;-7,30;88,00;2,60;70;10;5,50
07Jan2019 21:00:00;-3,70;-7,50;90,00;2,60;70;70;7,60
07Jan2019 22:00:00;-3,60;-7,40;92,10;2,60;60;71;6,50
07Jan2019 23:00:00;-4,10;-8,00;92,00;2,60;50;22;6,50
08Jan2019 0:00:00;-4,00;-7,90;89,30;2,60;60;1;7,30
08Jan2019 1:00:00;-4,10;-8,50;90,00;3,10;50;71;6,0
08Jan2019 2:00:00;-4,20;-8,10;89,30;2,60;60;71;6,0
08Jan2019 3:00:00;-4,10;-8,00;92,00;2,60;40;2;7,30
08Jan2019 4:00:00;-4,10;-8,50;92,00;3,10;50;70;6,50
08Jan2019 5:00:00;-4,00;-7,30;92,10;2,10;60;70;6,50
08Jan2019 6:00:00;-4,20;-7,50;90,00;2,10;50;70;7,60
08Jan2019 7:00:00;-3,90;-3,90;87,30;1,00;70;22;6,50
08Jan2019 8:00:00;-4,30;-8,30;87,90;2,60;60;73;6,50
08Jan2019 9:00:00;-4,00;-7,90;82,10;2,60;40;2;7,60
08Jan2019 10:00:00;-3,60;-7,40;79,10;2,60;40;;6,50
08Jan2019 11:00:00;-3,10;-7,80;73,30;3,60;30;;6,50
08Jan2019 12:00:00;-2,40;-6,50;67,50;3,10;20;2;7,60
08Jan2019 13:00:00;-1,20;-4,00;61,30;2,10;20;;6,50
08Jan2019 14:00:00;-0,90;-3,60;59,50;2,10;40;;6,50
08Jan2019 15:00:00;-0,80;-4,10;62,40;2,60;40;2;7,60
08Jan2019 16:00:00;-1,20;-4,60;60,40;2,60;20;;6,50
08Jan2019 17:00:00;-1,70;-6,10;59,30;3,60;360;;6,50
08Jan2019 18:00:00;-2,40;-5,40;64,40;2,10;80;;7,60
08Jan2019 19:00:00;-2,70;-2,70;65,40;1,00;80;;6,50
08Jan2019 20:00:00;-2,70;-2,70;64,40;1,50;80;;5,50
08Jan2019 21:00:00;-2,70;-2,70;63,40;0,50;80;;7,60
08Jan2019 22:00:00;-2,50;-7,00;64,40;3,60;20;;6,0
08Jan2019 23:00:00;-2,70;-2,70;63,40;1,00;320;;6,0
09Jan2019 0:00:00;-2,90;-2,90;63,30;1,00;240;;7,50
09Jan2019 1:00:00;-3,30;-3,30;61,30;1,00;280;;4,50
09Jan2019 2:00:00;-3,90;-3,90;63,60;1,00;230;;2,0
09Jan2019 3:00:00;-5,70;-5,70;74,60;1,50;210;;0,0
09Jan2019 4:00:00;-6,40;-6,40;77,40;1,00;210;;0,0
09Jan2019 5:00:00;-6,70;-6,70;77,40;1,00;200;;0,0
09Jan2019 6:00:00;-7,60;-7,60;82,30;1,00;170;;0,0
09Jan2019 7:00:00;-7,60;-7,60;82,30;1,00;200;;0,0
09Jan2019 8:00:00;-7,50;-7,50;81,00;1,00;200;;0,0
09Jan2019 9:00:00;-7,30;-7,30;80,40;1,00;200;0;0,0
09Jan2019 10:00:00;-6,90;-11,30;74,30;2,60;220;;1,0
09Jan2019 11:00:00;-6,10;-10,40;72,20;2,60;220;;1,0
09Jan2019 12:00:00;-4,90;-8,30;67,50;2,10;200;;0,90
09Jan2019 13:00:00;-4,10;-7,40;63,50;2,10;240;;1,0
09Jan2019 14:00:00;-3,70;-8,00;64,60;3,10;250;;1,0
09Jan2019 15:00:00;-3,60;-7,40;59,30;2,60;220;;0,0
09Jan2019 16:00:00;-3,00;-6,70;55,40;2,60;230;;0,0
09Jan2019 17:00:00;-4,30;-7,60;55,00;2,10;190;;3,0
09Jan2019 18:00:00;-4,70;-8,10;58,50;2,10;200;;0,50
09Jan2019 19:00:00;-5,30;-8,80;63,20;2,10;240;;0,0
09Jan2019 20:00:00;-5,30;-5,30;63,20;1,50;230;;0,0
09Jan2019 21:00:00;-6,90;-6,90;72,60;1,00;40;;0,0
09Jan2019 22:00:00;-8,30;-12,30;75,30;2,10;60;;0,0
09Jan2019 23:00:00;-9,00;-14,40;76,40;3,10;60;;0,0
10Jan2019 0:00:00;-9,60;-13,80;77,50;2,10;60;10;0,0
10Jan2019 1:00:00;-9,70;-14,70;78,10;2,60;50;;0,0
10Jan2019 2:00:00;-9,90;-15,50;78,10;3,10;50;;0,0
10Jan2019 3:00:00;-9,80;-15,90;76,20;3,60;60;10;0,0
10Jan2019 4:00:00;-10,10;-16,30;76,20;3,60;60;;0,0
10Jan2019 5:00:00;-10,20;-15,80;78,70;3,10;60;10;0,0
10Jan2019 6:00:00;-9,50;-15,00;77,50;3,10;40;10;3,60
10Jan2019 7:00:00;-8,70;-14,00;77,70;3,10;60;10;4,50
10Jan2019 8:00:00;-8,60;-14,90;78,30;4,10;60;;4,50
10Jan2019 9:00:00;-8,10;-14,70;78,40;4,60;50;10;3,60
10Jan2019 10:00:00;-6,00;-10,30;71,60;2,60;40;;4,50
10Jan2019 11:00:00;-4,90;-9,50;69,60;3,10;50;;4,50
10Jan2019 12:00:00;-3,10;-8,20;65,30;4,10;50;;4,40
10Jan2019 13:00:00;-3,10;-8,50;67,40;4,60;60;;4,0
10Jan2019 14:00:00;-1,50;-5,40;63,20;3,10;40;;4,0
10Jan2019 15:00:00;0,20;-3,70;60,30;3,60;50;;5,70
10Jan2019 16:00:00;-0,50;-5,00;63,40;4,10;30;;4,50
10Jan2019 17:00:00;-1,40;-6,40;66,70;4,60;40;;4,50
10Jan2019 18:00:00;-1,70;-4,60;70,30;2,10;40;;5,70
10Jan2019 19:00:00;-1,10;-5,30;72,60;3,60;40;;4,50
10Jan2019 20:00:00;-1,70;-1,70;76,40;1,00;30;;3,0
10Jan2019 21:00:00;-2,00;-5,50;77,60;2,60;40;;3,50
10Jan2019 22:00:00;-2,30;-6,80;78,10;3,60;50;;3,0
10Jan2019 23:00:00;-3,00;-8,10;78,60;4,10;50;;4,0
11Jan2019 0:00:00;-3,10;-7,80;79,20;3,60;50;;3,50
11Jan2019 1:00:00;-3,10;-7,30;78,60;3,10;40;;3,0
11Jan2019 2:00:00;-3,00;-7,20;79,20;3,10;40;;4,0
11Jan2019 3:00:00;-2,70;-6,80;79,20;3,10;40;10;2,60
11Jan2019 4:00:00;-2,90;-7,50;80,40;3,60;50;;3,0
11Jan2019 5:00:00;-2,60;-7,60;80,50;4,10;50;;3,0
11Jan2019 6:00:00;-2,00;-2,00;81,20;1,50;40;10;2,60
11Jan2019 7:00:00;-2,00;-6,00;81,20;3,10;40;;3,0
11Jan2019 8:00:00;-1,60;-1,60;83,10;1,50;20;;4,0
11Jan2019 9:00:00;-0,20;-3,40;80,20;2,60;40;10;5,70
11Jan2019 10:00:00;0,70;0,60;78,60;1,50;30;10;5,50
11Jan2019 11:00:00;1,70;-0,60;75,30;2,10;40;;4,50
11Jan2019 12:00:00;4,80;2,60;70,60;2,60;180;10;6,60
11Jan2019 13:00:00;5,50;3,70;68,20;2,10;180;;5,50
11Jan2019 14:00:00;6,10;5,70;65,00;1,00;200;;5,50
11Jan2019 15:00:00;6,60;6,10;63,20;1,50;200;;6,60
11Jan2019 16:00:00;6,80;5,20;62,80;2,10;220;;4,50
11Jan2019 17:00:00;6,60;6,10;63,20;1,50;230;;4,50
11Jan2019 18:00:00;6,00;5,60;65,90;1,50;210;;6,30
11Jan2019 19:00:00;5,60;5,20;68,20;1,00;270;;4,50
11Jan2019 20:00:00;5,50;5,10;68,20;1,50;250;;4,50
11Jan2019 21:00:00;5,60;5,20;65,30;1,00;230;60;7,10
11Jan2019 22:00:00;5,40;5,00;65,30;1,00;260;;5,50
11Jan2019 23:00:00;5,50;5,10;65,30;1,00;220;;5,50
12Jan2019 0:00:00;5,10;4,70;68,60;1,00;210;10;7,10
12Jan2019 1:00:00;4,90;4,50;69,60;0,50;200;;5,50
12Jan2019 2:00:00;3,80;3,60;80,80;1,00;10;61;5,50
12Jan2019 3:00:00;3,40;3,20;85,50;0,50;250;61;7,10
12Jan2019 4:00:00;3,10;1,10;88,60;2,10;190;60;5,50
12Jan2019 5:00:00;2,80;2,60;92,50;0,50;20;61;6,50
12Jan2019 6:00:00;2,30;2,20;95,80;0,50;40;61;7,60
12Jan2019 7:00:00;1,70;1,60;97,90;1,00;40;21;5,50
12Jan2019 8:00:00;1,60;1,50;98,60;1,00;40;10;5,50
12Jan2019 9:00:00;1,60;1,50;98,60;1,00;40;2;6,60
12Jan2019 10:00:00;3,40;3,30;100,00;1,00;50;10;5,50
12Jan2019 11:00:00;4,40;4,30;98,60;1,50;50;;5,50
12Jan2019 12:00:00;5,60;5,40;88,80;1,50;50;10;6,60
12Jan2019 13:00:00;5,70;5,40;82,80;1,50;60;;5,50
12Jan2019 14:00:00;5,30;5,00;82,70;1,50;40;;5,50
12Jan2019 15:00:00;6,50;6,20;76,70;1,00;50;10;6,60
12Jan2019 16:00:00;6,40;4,90;76,10;2,10;70;;5,50
12Jan2019 17:00:00;5,50;5,20;77,60;1,50;60;;5,50
12Jan2019 18:00:00;3,80;3,60;84,30;1,50;50;;6,60
12Jan2019 19:00:00;2,80;0,70;88,60;2,10;50;;5,50
12Jan2019 20:00:00;2,30;0,10;89,80;2,10;50;;5,50
12Jan2019 21:00:00;2,20;-0,50;89,80;2,60;60;10;6,60
12Jan2019 22:00:00;2,50;2,30;89,80;1,50;50;68;5,50
12Jan2019 23:00:00;2,50;2,40;94,50;1,00;30;68;6,0
13Jan2019 0:00:00;2,50;2,40;97,90;0,50;40;22;7,60
13Jan2019 1:00:00;2,50;2,40;98,60;1,00;50;60;6,0
13Jan2019 2:00:00;1,90;-0,80;98,60;2,60;60;21;6,0
13Jan2019 3:00:00;1,90;1,80;99,30;1,50;50;2;7,0
13Jan2019 4:00:00;1,90;1,80;99,30;1,50;50;60;6,50
13Jan2019 5:00:00;1,60;1,50;100,00;1,00;60;61;6,50
13Jan2019 6:00:00;0,60;0,60;100,00;0,50;50;70;7,70
13Jan2019 7:00:00;0,50;0,50;100,00;1,00;50;22;6,50
13Jan2019 8:00:00;0,80;0,70;100,00;1,00;60;10;6,50
13Jan2019 9:00:00;1,00;0,90;100,00;1,00;50;2;7,70
13Jan2019 10:00:00;1,30;1,20;99,30;1,50;50;;6,50
13Jan2019 11:00:00;1,70;1,60;100,00;1,50;60;;6,50
13Jan2019 12:00:00;2,70;2,60;100,00;1,50;60;;7,60
13Jan2019 13:00:00;2,50;-0,10;100,00;2,60;50;;6,50
13Jan2019 14:00:00;2,90;2,80;100,00;1,50;70;;6,50
13Jan2019 15:00:00;3,10;1,10;99,30;2,10;70;60;7,60
13Jan2019 16:00:00;2,90;2,80;100,00;1,50;70;60;6,50
13Jan2019 17:00:00;2,70;0,60;100,00;2,10;70;21;6,50
13Jan2019 18:00:00;2,30;0,10;99,30;2,10;70;2;7,60
13Jan2019 19:00:00;2,40;2,30;100,00;1,50;60;10;5,0
13Jan2019 20:00:00;2,30;2,20;99,30;1,50;70;;5,50
13Jan2019 21:00:00;2,40;2,30;100,00;1,00;60;3;7,0
13Jan2019 22:00:00;2,40;2,30;100,00;1,00;40;10;6,0
13Jan2019 23:00:00;2,30;2,20;99,30;0,50;40;10;6,0
14Jan2019 0:00:00;2,40;2,30;100,00;0,50;40;10;7,0
14Jan2019 1:00:00;2,60;2,50;99,30;0,00;0;10;6,0
14Jan2019 2:00:00;2,80;2,70;99,30;0,00;0;10;6,0
14Jan2019 3:00:00;3,00;2,90;100,00;0,50;200;10;7,0
14Jan2019 4:00:00;3,10;3,00;98,60;1,00;250;10;6,0
14Jan2019 5:00:00;2,90;2,70;94,50;1,00;210;60;6,0
14Jan2019 6:00:00;2,70;2,60;96,50;0,50;210;21;7,0
14Jan2019 7:00:00;2,70;2,60;96,50;0,50;160;10;6,0
14Jan2019 8:00:00;3,00;2,80;92,50;0,50;190;10;6,50
14Jan2019 9:00:00;3,20;3,00;89,30;1,00;210;10;7,60
14Jan2019 10:00:00;2,90;2,70;92,50;1,50;170;10;5,50
14Jan2019 11:00:00;4,10;3,90;91,20;1,00;190;;5,0
14Jan2019 12:00:00;5,40;3,70;71,70;2,10;220;1;6,20
14Jan2019 13:00:00;4,70;4,40;79,80;1,50;210;61;5,0
14Jan2019 14:00:00;4,90;4,70;84,50;1,00;200;60;5,50
14Jan2019 15:00:00;5,50;5,20;79,90;0,50;240;21;7,10
14Jan2019 16:00:00;5,40;3,70;79,90;2,10;240;60;5,50
14Jan2019 17:00:00;5,10;2,70;74,80;3,10;230;61;5,50
14Jan2019 18:00:00;4,80;4,50;75,90;1,00;200;21;7,10
14Jan2019 19:00:00;4,90;4,60;78,10;1,50;220;;4,0
14Jan2019 20:00:00;4,50;4,20;82,60;1,00;180;80;5,0
14Jan2019 21:00:00;4,00;3,80;84,40;0,50;310;1;4,60
14Jan2019 22:00:00;3,20;3,00;88,60;0,00;0;;4,50
14Jan2019 23:00:00;3,80;3,60;89,30;0,00;0;60;5,50
15Jan2019 0:00:00;3,80;3,60;93,20;1,00;30;60;5,80
15Jan2019 1:00:00;3,50;3,30;95,90;1,00;360;60;5,50
15Jan2019 2:00:00;3,80;3,60;91,20;0,50;290;60;5,50
15Jan2019 3:00:00;2,90;2,70;91,80;1,00;40;21;7,0
15Jan2019 4:00:00;2,70;2,60;94,50;1,50;10;10;5,50
15Jan2019 5:00:00;2,80;2,60;92,50;1,00;10;10;4,0
15Jan2019 6:00:00;4,00;2,10;83,80;2,10;170;60;6,60
15Jan2019 7:00:00;4,10;3,80;79,70;0,50;200;21;3,0
15Jan2019 8:00:00;4,00;3,80;82,00;0,00;0;;4,50
15Jan2019 9:00:00;4,50;4,20;75,80;1,00;200;2;5,70
15Jan2019 10:00:00;4,40;4,10;80,90;1,00;40;;5,50
15Jan2019 11:00:00;4,40;4,20;83,80;1,50;60;80;5,50
15Jan2019 12:00:00;4,60;4,40;87,50;1,50;50;80;6,60
15Jan2019 13:00:00;4,10;1,80;87,40;2,60;160;60;6,0
15Jan2019 14:00:00;4,00;1,40;93,20;3,10;40;21;6,0
15Jan2019 15:00:00;5,00;3,30;85,70;2,10;90;2;7,30
15Jan2019 16:00:00;6,30;3,50;78,90;4,60;170;60;6,0
15Jan2019 17:00:00;5,00;1,90;89,40;4,60;170;60;6,0
15Jan2019 18:00:00;6,20;2,60;81,70;7,20;160;60;7,30
15Jan2019 19:00:00;4,80;1,60;89,40;4,60;170;61;6,0
15Jan2019 20:00:00;5,10;2,50;88,80;3,60;170;61;6,0
15Jan2019 21:00:00;5,90;2,60;78,80;5,70;180;21;6,30
15Jan2019 22:00:00;6,20;3,50;76,10;4,10;160;;4,50
15Jan2019 23:00:00;4,20;0,30;82,00;5,70;200;61;4,50
16Jan2019 0:00:00;2,10;-1,30;86,00;3,60;210;21;6,30
16Jan2019 1:00:00;-0,20;-4,20;96,40;3,60;250;70;6,50
16Jan2019 2:00:00;-0,70;-4,80;94,30;3,60;270;71;6,50
16Jan2019 3:00:00;-0,50;-3,70;85,10;2,60;230;71;7,60
16Jan2019 4:00:00;-0,70;-0,70;86,30;1,50;220;22;4,50
16Jan2019 5:00:00;0,00;-4,00;66,50;3,60;340;;4,50
16Jan2019 6:00:00;-0,30;-3,50;66,40;2,60;290;2;5,70
16Jan2019 7:00:00;-0,40;-3,10;61,50;2,10;350;;5,50
